,replicate,time,living,dead,rough,spacer,resistants,virulent,mucin_mode,global_energy_reserves
0,0,0,126,0,0.19047619047619047,0.0,0.19047619047619047,0.8095238095238095,0.11904761904761904,100.0
1,0,1,125,26,0.264,0.0,0.264,0.736,0.128,100.0
2,0,2,133,51,0.3458646616541353,0.0,0.3458646616541353,0.6541353383458647,0.23308270676691728,100.0
3,0,3,134,84,0.3358208955223881,0.0,0.3358208955223881,0.664179104477612,0.31343283582089554,100.0
4,0,4,114,129,0.42105263157894735,0.0,0.42105263157894735,0.5789473684210527,0.2894736842105263,111.0
5,0,5,138,141,0.4492753623188406,0.0,0.4492753623188406,0.5507246376811594,0.2826086956521739,109.0
6,0,6,149,170,0.5167785234899329,0.006711409395973154,0.5167785234899329,0.48322147651006714,0.3221476510067114,100.0
7,0,7,78,187,0.5,0.02564102564102564,0.5,0.5,0.38461538461538464,142.0
8,0,8,84,200,0.6071428571428571,0.023809523809523808,0.6071428571428571,0.39285714285714285,0.30952380952380953,177.0
9,0,9,107,208,0.6355140186915887,0.028037383177570093,0.6355140186915887,0.3644859813084112,0.2897196261682243,201.0
10,0,10,114,226,0.6929824561403509,0.017543859649122806,0.6929824561403509,0.30701754385964913,0.2719298245614035,215.0
11,0,11,6,229,1.0,0.0,1.0,0.0,0.0,310.0
12,0,12,7,229,1.0,0.0,1.0,0.0,0.0,404.0
13,0,13,5,232,1.0,0.0,1.0,0.0,0.0,500.0
14,0,14,6,233,1.0,0.0,1.0,0.0,0.0,596.0
15,0,15,6,234,1.0,0.0,1.0,0.0,0.0,691.0
16,0,16,7,235,1.0,0.0,1.0,0.0,0.0,786.0
17,0,17,8,236,1.0,0.0,1.0,0.0,0.0,880.0
18,0,18,9,237,1.0,0.0,1.0,0.0,0.0,973.0
19,0,19,9,239,1.0,0.0,1.0,0.0,0.0,1066.0
20,0,20,9,240,1.0,0.0,1.0,0.0,0.0,1158.0
21,0,21,9,242,1.0,0.0,1.0,0.0,0.0,1251.0
22,0,22,9,244,1.0,0.0,1.0,0.0,0.0,1344.0
23,0,23,9,246,1.0,0.0,1.0,0.0,0.0,1437.0
24,0,24,10,248,1.0,0.0,1.0,0.0,0.0,1530.0
25,0,25,11,249,1.0,0.0,1.0,0.0,0.0,1621.0
26,0,26,13,251,1.0,0.0,1.0,0.0,0.0,1712.0
27,0,27,16,253,1.0,0.0,1.0,0.0,0.0,1801.0
28,0,28,19,255,1.0,0.0,1.0,0.0,0.0,1887.0
29,0,29,21,258,1.0,0.0,1.0,0.0,0.0,1971.0
30,0,30,26,260,1.0,0.0,1.0,0.0,0.0,2052.0
31,0,31,31,264,1.0,0.0,1.0,0.0,0.0,2130.0
